av_depth,max_depth,min_depth,num_acl,num_rel_cl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_poss,num_prep,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,pos_sim_all,lemma_sim_all,lemma_sim_nei,density,ls,vs,corrected_vs,squared_vs,lfp_1000,lfp_2000,lfp_uwl,lfp_rest,ndw,ttr,corrected_ttr,root_ttr,log_ttr,uber_ttr,d,lv,vvi,squared_vv,corrected_vv,vvii,nv,adjv,advv,modv,der_level3,der_level4,der_level5,der_level6,mci,freq_finite_forms,freq_aux,num_inf,num_gerunds,num_pres_sing,num_pres_plur,num_past_part,num_past_simple,num_linkings,num_4grams,num_func_ngrams,num_shell_noun,num_misspelled_tokens,punct_mistakes_pp,punct_mistakes_because,punct_mistakes_but,punct_mistakes_compare,million_mistake,side_mistake,name,text,class,type,sum_punct
4.19,7,3,2,0,6,16,288,5.56,18.0,24,18,6,5,18,13,21,0,1,13.33,12.91,18.08,18.67,0.51,0.11,0.03,0.12,0.03,0.73,0.13,0.05,0.1,134,0.47,5.58,7.9,0.86,369.03,0.81,0.47,0.84,22.78,3.38,0.18,0.16,0.12,0.09,0.21,0.05,0.05,0.1,0.09,2.25,0.28,0.5,18,4,7,0,2,4,7,11,1,2,1,0,0,0,0,0,0,./data/exam/exam2016/best_works/ZEv_3_2,"Nowadays, almost everyone has ever tried to travel by plane this way of travelling became very common. However it contributes great harm to the nature, especially to air, that it is why some people believe that goverments should control the traffic of air travelling by special laws. I strongly agree with this point of view and in this essay I will explain why.

First of all, almost all modern scientists are very worried about ecological situation in the world. In order to save our planet many organizations try to control air pollution by different methods. In this case, it is important to use the power of government for helping our Earth. If governments introduce special laws, it will support ecological organizations in fighting with pollution and global warming very much.

Moreover, the main goal of the government is to care about people. In this case, it is try to make everything to provide more pure atmosphere and clean air. This changes will positively influence on the level of health and amount of births.

Finally, controlling the traffic of planes by government will show people the real situation in worldwide ecology system. Everyone will understand that this problem went to a new level – level of the President. It will motivate people to be more careful: keep the air clean and do not make streets dirty.

To conclude, air pollution and global warming is one of the main issues of a modern society. In order to save the ecological situation governments should try any methods include introducing special laws for air-companies. 
",75,2,0
5.14,8,3,1,1,2,7,184,7.57,26.29,11,9,2,6,17,7,11,0,1,22.67,24.33,30.4,28.0,0.35,0.12,0.22,0.47,0.44,0.49,0.09,0.07,0.34,92,0.5,4.8,6.78,0.87,637.2,0.79,0.5,0.89,7.11,1.89,0.12,0.11,0.19,0.12,0.31,0.05,0.03,0.03,0.03,2.0,0.78,0.44,1,1,7,0,0,0,6,2,0,0,2,0,0,0,0,0,0,./data/exam/exam2017_6/OBy_151_1,"The graph represents information about minimum and maximum temperature level during the year in two different citys: Yakutsk and Rio de Janeiro. 

The most striking feature is that average temperature in Yakutsk has sharp maximum while one in Rio de Janeiro remains approximately between close values during the period. During the first six months both maximum and minimum average temperature in Yakutsk roket from -35*C and -41*C to about 26*C and 13*C at the beginning of July, riching their maximum. By contrast,  in the Brazil city those temperatures decrease over this period, however not so significantly from 30*C and 27*C to 25*C and 17*C respectively for maximum and minimum opposite. Yakutsk’s temperatures fall again to their beginning values, whilst Rio de Janeiro’s one increase and also recover their values. 

It is clear that temperature fluctuation during the year in Yakutsk is bigger and has sharper form in comparison with Rio de Janeiro’s values. 
",65,1,0
4.64,8,3,6,0,5,11,214,5.64,19.45,19,15,4,5,12,17,6,5,0,15.6,15.17,19.5,20.0,0.43,0.11,0.05,0.16,0.05,0.62,0.1,0.07,0.21,91,0.43,4.4,6.22,0.84,142.19,0.78,0.43,0.47,4.26,1.46,0.1,0.1,0.13,0.15,0.28,0.0,0.05,0.03,0.0,3.5,0.16,0.89,1,1,8,0,14,5,8,3,1,1,0,1,1,0,0,0,0,./data/exam/exam2017/VSa_11_1,"The figures illustrate how the goods were transported internationally in the East of Europe in 2008. It is clear that rails and roads were used differently. 
Almost one third of goods transported by rail was metals, while only 11% of transportation by road was occupied by metals. The percentage of manufactured goods was nearly the same in both cases, 25% and 28% respectively. What is also seen is that for transporting machinery rail was used more often, because machinery made up 12% of all goods transported by this means of transport. Metals are also transported by rail in most cases, with the percentage of 35 among all other goods.
As for transportation by road, it is mostly used for food products, manufactured goods, chemicals and non-metallic minerals. All mentioned figures are higher, compared to the ones transported by rail. The difference in food products transportation is the most significant, since it is 19%. The part of transported chemicals is 5% more than in using rail.
To conclude, it is obvious that for some reasons various goods can be transported either by rail or by road.
",70,1,2
3.86,8,2,4,3,11,21,411,6.05,19.57,41,24,17,10,11,16,17,0,5,17.1,19.31,24.84,21.9,0.44,0.04,0.02,0.11,0.02,0.75,0.14,0.02,0.09,162,0.39,5.65,7.99,0.85,167.91,0.81,0.39,0.69,21.36,3.27,0.17,0.11,0.11,0.11,0.22,0.09,0.02,0.01,0.05,3.5,0.16,0.84,32,7,12,0,3,4,21,10,3,5,1,0,0,2,1,0,0,./data/exam/exam2014/EPa_27_2,"The issue of public health becomes more and more crucial in the 21st century. How can this problem be solved? A lot of people seem to think, that increasing the amount of sport facilities will benefit for the society. However, there are some people who doupt that these measures will have a great effect. Is it reasonable to build more sport facilities?
In my opinion, it will not solve the problem of public health. To begin with, whether or not the person will do sports entirely depends on him. If he is willing to do so, he will find a way to be more healthy, even if there do not exist any sport facilities. The opposite is true, too: if someone does not want to change his lifestyle, he will not do it, even if ne is living in the sports facility. Another thing we should not forget is that the public health is not only about sports, but about medicine as well. Even the greatest sportsmen in the world are not preserved from: ilnesses and injures. Without an effective medicine, it would be highly improbable to cure them. Therefore, I think that this is the area we should invest into. 
However, some people may argue that increasing the number of swimming pools, stadiums and other sport facilities will surely help people to overcome their laziness and start thinking about their health. They claim that this will also increase the interest in sport amoung the young people, like it was in China, and, in the end, the average person will be healthier. This people often forget, that in order to be healthier you must do sports regularly, and in our modern time people are very busy with their jobs and families. The addition of new sport facilities will not solve the problem of the shortage of time, and people will not spend more time in gyms because of their increased amount.
To sum up, increasing the amount of sport facilities will give more possibilities to do sports, but I am sure that being healthy is not always about sports. It is also about healthy food, good medicine and determination to change your life for the letter.
",65,2,3
3.67,6,1,0,0,0,6,122,6.5,20.33,8,8,0,4,10,6,6,0,0,20.0,21.98,25.01,23.2,0.39,0.13,0.0,0.0,0.0,0.66,0.07,0.03,0.24,61,0.5,3.91,5.52,0.86,266.07,0.76,0.5,0.8,3.2,1.26,0.09,0.12,0.11,0.11,0.21,0.0,0.22,0.07,0.0,1.5,0.8,0.8,1,0,3,0,0,4,2,1,0,0,1,0,0,0,0,5,0,./data/exam/exam2016/OR_56_1,"The chart below illustrates how much girls and boys did not finish anitial education in Africa, South Asia and Rest of World in 2000 and 2012 year. Overall, in Africa there is the hiest number of boys without access to primary school education. The amont of children withoun anitial education in Africa in 2000 was about 44 millions while in other two  countries it was less then 34 millions. In 2012 this number fell and in 2012 years it is about 32.5 million. In the South Asia there were 21.6 millions boys and 11.1 millions girls without education in 2000 year but two years after it decreased to 4.8 millions boys and 5.1 million girls.
",50,1,0
4.11,7,1,1,0,8,9,201,7.22,22.33,14,8,6,3,15,11,15,1,0,19.75,20.62,25.47,24.5,0.39,0.25,0.0,0.0,0.0,0.58,0.06,0.02,0.34,93,0.46,4.64,6.56,0.85,201.16,0.8,0.46,0.62,6.25,1.77,0.13,0.13,0.14,0.08,0.22,0.0,0.02,0.06,0.04,4.25,0.31,0.69,5,5,8,0,3,0,9,11,1,0,0,0,0,0,0,0,0,./data/exam/exam2014/DZu_27_1,"The following table provides information about underground systems in six megapolices all over the world. Overall, it can be said that the longest underground railway route is in London, while Tokyo has the largest passangers number.
To begin with, talking about open dates of the underground in six cities, it can be seen that Londen has the oldest railway system, while Los Angeles has the youngest. Also we can mentione a specific feature connected with a striking difference in time between openings of London and Paris underground system: it is almost 40 years.
Secondly, talking about the length of underground systems, we can see a huge difference between Kyoto railways and the others. The closest in numbers to Kyoto is Los Angeles underground station with 28 km of route. Paris, Tokyo and Washington DC are close in numbers too, having 199, 155 and 126 km respectively. 
In conclusion, differences between passangers per year in six cities are striking of course, especially talking about the oldest underground system in London in comparison to Paris (775 versus 1191 respectively). 
",60,1,0
5.3,8,3,0,5,1,10,176,4.4,17.6,18,13,5,2,13,8,10,0,1,13.56,13.91,17.96,17.22,0.49,0.21,0.0,0.0,0.0,0.58,0.12,0.03,0.27,87,0.49,4.64,6.56,0.86,443.69,0.79,0.49,0.65,7.12,1.89,0.13,0.15,0.15,0.09,0.24,0.08,0.03,0.05,0.08,2.5,0.53,0.53,6,0,9,0,2,1,6,1,0,0,1,0,0,0,1,0,0,./data/exam/exam2014/EZa_46_1,"The graph illustrates the rate of Australian post-school qualification between females and males in the 1999 year. 
The level of proportion is rather different for the every kind of qualification. It is noticable that female respondents prefer undergraduate diploma and Bachelor's degree. In contrast, there is over twice as many males who would like to get a postgraduate diploma, than females. Moreover, males also want to get master's degree. The main feature is that about 90% males have skilled vocational diploma as post-school qualification. The proportion of men and women whob want to get the post-school qualification is not balanced. Males are more likely to get the future education than women: the chart shows that there are about 300% of males and 200 of women who held the qualification in 1999. 
The main tendency is that there are some kinds of post-school qualification, which are extremely popular between each gender.
",55,1,1
5.58,9,2,9,0,13,12,324,6.5,27.0,19,10,9,6,22,16,10,3,1,22.36,22.84,29.21,29.82,0.44,0.13,0.08,0.35,0.24,0.64,0.07,0.04,0.24,134,0.41,5.26,7.44,0.85,241.4,0.82,0.41,0.73,19.7,3.14,0.19,0.12,0.1,0.06,0.16,0.05,0.0,0.1,0.04,6.0,0.32,0.41,9,10,12,0,10,3,11,2,0,6,1,0,0,0,0,3,0,./data/exam/exam2016/EKu_82_1,"The two given graphs illustrate a situation of using Facebook among men and women. The first graph shows the difference between devices used for the network in March 2012 amd March 2013, whereas the second bar chart embodies the main reasons for using Facebook considering the gender factor. It should be noted that the number of people of both genders using Facebook on a desktop is higher than those using their mobile phones (150 millions of people in March 2012 comparing to almost 60 millions of users). However, the situation has been changed by March 2013. The number of cell phones users has been increased for 40 millions of people. As for the reasons that people find most important to use Facebook demonstrated on the second chart, it is striking that receiving updates tends to be equally important for both men and women (39% of people). Although sharing photos or videos remains the main reason for users, women show more interest to this function of Facebook (54% comparing to 39% of men). The second in its importance reason is seeing funny posts, also looking more appealing to women than to men (43% of women and 35% of men). Finally, learning about ways to help others is on the forth place, still, a significant percent of women (35%) and men (25%) demonstrate interest to this reason.  To sum up everything, it shoud be said that the tendency of using networks (such as Facebook) via mobile phones seems to have been rising. Women prefer Facebook's opportunities of sharing photos/videos and seeing funny posts. Receiving updates appears to be important for both men and women.",75,1,0
5.75,11,3,2,3,1,8,178,5.0,22.25,11,6,5,5,21,9,9,1,0,17.43,18.66,24.18,23.43,0.4,0.11,0.1,0.22,0.1,0.65,0.1,0.04,0.21,77,0.43,4.08,5.77,0.84,372.58,0.73,0.43,0.9,8.1,2.01,0.12,0.13,0.1,0.07,0.17,0.07,0.12,0.02,0.05,4.0,0.8,0.3,0,1,1,0,1,7,7,11,4,2,0,0,0,0,0,6,0,./data/exam/exam2016/OR_70_1,"The bar chart illustrates the quantity of children of both genders that lack access to primary education in 2000 and 2012 in Africa, South Asia and in the rest of the world. Amount of children without access to primary education in Africa in 2000 was an upward trend with as many as 23.7 millions of girls and 20 millions of boys. However, this figure underwent changes and it decreased in 2012 to the same numbers that were in South Asia in 2000. In the rest of the world there was the smallest number of children without primary education in 2000: 12.8 and 10.5 millions of girls and boys respectively. Nevertheless, the situation shifted because in 2012 it was South Asia that reached a bottom of 10 millions children: 4.8 millions of girls and 5.1 millions of boys. Overall, there was a tendency of falling of the number of children without access to primary school education if we consider information given for all the regions and genders.
",65,1,0
4.39,6,3,3,6,8,18,350,5.5,19.44,35,19,16,10,14,20,27,3,4,14.53,16.16,22.35,20.29,0.51,0.07,0.02,0.1,0.02,0.79,0.07,0.05,0.1,160,0.46,6.05,8.55,0.87,218.69,0.85,0.46,0.74,26.06,3.61,0.2,0.16,0.13,0.08,0.21,0.04,0.03,0.08,0.07,5.0,0.45,0.34,16,5,9,0,7,5,18,2,0,1,1,0,0,1,0,0,0,./data/exam/exam2016/OR_108_2,"Nowadays it is widely discussed that children in modern families have a lack of attention and care of their parents. Both parents spend time together with kids not as much as they used to. There are several reasons which can cause this and some troubles that can appear in this situation. To begin with, career is the main obstack to spend enough time with family. In present-day world, people desire to achieve a great success, find a well-paid job and get the highest position in companies. And if they did not manage to do this earlier, before family life, they try to achieve this when they already have children. So grandmothers and grandfathers, babysitters became main people who brings up babies. In addition, lifestyle affects patterns of care and attention. In the past, children started working in very early age. They quite often go to work on fields or gardens with their family. Nowadays this can be observed in poor countries, but in developed ones parents are the only family members who have to go to job. Considering the problems that can be caused, getting into trouble can me named as the main issue. When a child, especially an adolescent, sees that parent do not care about his life he decided that it is allowed to do whatever he wants. Teenagers join bad companies and their new friends quite often have some bad habits such as drugs or alcohol. Moreover, lack of parent’s attention influences on school marks of a child. Helping in learning process and participating in school life are the essential part of parenting. The way how adults bring up their children affects on their attitude to education. To sum up, help to find a proper way in further life it is significant duty of parents and it is quite important to spend enough time with children to protect them from any troubles.
",65,2,1
5.25,10,2,6,2,2,8,211,6.38,26.38,10,8,2,3,16,13,16,7,0,20.14,20.65,27.54,27.0,0.45,0.26,0.23,0.75,1.14,0.65,0.06,0.07,0.22,104,0.49,5.06,7.16,0.87,459.36,0.77,0.49,0.86,16.41,2.86,0.2,0.13,0.11,0.12,0.24,0.05,0.0,0.0,0.07,4.25,0.23,0.36,4,5,1,0,7,4,8,3,0,0,4,0,0,0,0,0,0,./data/exam/exam2016/EKu_124_1,"The diagram and graph that are given present the total amount of investments in the world`s energy innovations during the period from 2006 to 2013 among the whole world, including not only developed,but still developing countries. It can be seen from the graph that from the 2006 to 2008 renewable energy was sponsored steadly in both types of countries,including the whole world, rising the investment`s level. Then, during the year up to 2009 it went down a little, loosing 3 billion of dollars. Noticeably, the next 2 years can be described as a period of soaring, mostly among the contries of the First World. Thus, in 2011 investments in renewable energy production reached its peak as can be measured in 279 billion of dollars. After this success, the recieved level started to decline dramatically, swooping under the 214 billion of dollars. Overall, world`s total and both developed and developing countries show the same shemes of investment`s movements, fluctuating and differing just in the whole amount of money, spending on the innovations in renewable sourses of energy. Nevertheless, the graph predicates next worldwide dropping in its sponsoring after 2013.  ",40,1,0
2.88,5,2,0,0,0,8,145,7.5,18.12,14,14,0,3,10,12,6,0,0,16.29,16.24,19.06,19.29,0.3,0.2,0.17,0.29,0.17,0.59,0.06,0.03,0.32,60,0.41,3.52,4.98,0.82,151.92,0.69,0.41,0.83,4.17,1.44,0.11,0.08,0.11,0.09,0.2,0.0,0.15,0.07,0.0,1.75,1.0,1.33,0,0,7,0,0,5,2,0,0,1,8,0,0,0,0,0,0,./data/exam/exam2017_6/OBy_99_1,"The chart below shows the difference of percentage of unemployment rate in world regions in 2014 and 2015.

The biggest percent in unemployment rate 12,5 is in North Africa and it doesn’t change since 2014 to 2015. The smallest percent is in South Asia. It is 3,9 and it doesn’t change too. In the Middle East the percentage of unemployment rate was 11 and in 2014 but in 2015 it falls down to 9,6 and it is the biggest difference between 2014 and 2015 years of all selected regions. In Europe in 2014 that rate was 7,5 and it grew up to 7,9 in 2015. 6,8% was in Latin America in 2014 year and this percentage changed to 5,8 in 2015. In the worldwide region the unemployment rate is 5,9 percent in both years.
",55,1,0
